Country Name,Country Code,2018,2019,2020,2021,2022,Population_2018,Population_2019,Population_2020,Population_2021,Population_2022
Liechtenstein,LIE,6692620691.84146,6436467007.11932,6405870210.32293,7710380085.92257,7361504432.19331,38246,38563,38901,39182,39493
Sri Lanka,LKA,94493871200.7869,89014978344.1404,84304298770.5329,88609324901.9774,74144870023.4244,21670000,21803000,21919000,22156000,22181000
Lower middle income,LMC,5994118980886.44,6298712117939.29,6102312002456.38,6911861585177.34,7371395678679.62,2886705487.5,2926690682,2966396716.5,3004162907,3041203716.5
Low & middle income,LMY,29791620278516.9,30495388425380.4,29521428086822.8,34778125922181.4,36465232446694.9,6287535114.5,6364581440,6438169877.5,6505838578,6568731933.5
Lesotho,LSO,2556247291.99785,2390702295.82777,2053699870.07191,2412130056.55851,2354683088.71995,2183603,2209405,2235727,2261542,2286110
Late-demographic dividend,LTE,22641256363718.2,23070237789791.1,22553187301005.7,26910414198858.4,28079439418908.5,2298520431.5,2309008599,2316785459.5,2320366261,2324072105.5
Lithuania,LTU,54261795148.5372,55122066225.796,57412038533.2718,67037321008.9679,71033884499.7824,2801543,2794137,2794885,2800839,2831639
Luxembourg,LUX,71000359760.4611,69890505323.5842,73699366700.2134,85584105993.8746,81641807865.7591,607950,620001,630419,640064,653103
Latvia,LVA,33247935477.3576,33099503950.847,33379927434.6149,38185125732.9451,38018905782.397,1927174,1913822,1900449,1884490,1879383
"Macao SAR, China",MAC,55190661339.7796,55082293844.1008,25343525935.8358,30969334705.0515,24999113475.8368,658900,672000,685400,682500,677300
St. Martin (French part),MAF,,652206037.103874,,649206262.847519,,36012,34267,31786,29961,28870
Morocco,MAR,127341147581.818,128920266409.458,121353645057.144,142022058447.231,130951926351.241,35839760,36210898,36584208,36954442,37329064
Monaco,MCO,7184333936.01355,7383496254.23721,6730736282.78961,8623242743.29564,8800430486.17137,38154,38109,38050,38527,38931
Moldova,MDA,11252353420.8798,11736797054.6965,11530746234.4492,13691869264.0794,14510490660.2516,2707203,2664224,2635130,2595809,2528654
Madagascar,MDG,13760033282.2925,14104664678.5063,13051441203.9474,14554754116.5427,15134700203.0497,27494926,28219554,28953556,29691083,30437261
Maldives,MDV,5404344162.69888,5726094799.37709,3712604583.36665,5252457369.55218,6177118113.94637,473099,487731,502118,516154,524106
Middle East & North Africa,MEA,3608662545371.1,3598454815841.46,3207935509914.13,3807870128264.03,4475708600082.35,466691130,474057593,482334398,488100624,498070255
Mexico,MEX,1256300182879.73,1304106203694.81,1121064767261.88,1316569466932.59,1464312692331.58,124573711,125762982,126799054,127648148,128613117
Marshall Islands,MHL,220000000.0,232900000.0,241800000.0,258900000.0,253400000.0,45285,44007,42706,41367,40077
Middle income,MIC,29369986143573.0,30047537869971.5,29078432184056.6,34301140512398.2,35917683987563.7,5645348919.5,5703863074,5758609133.5,5807623372,5851866150.5
North Macedonia,MKD,12683068114.2388,12606338448.547,12361036913.8409,14000283827.0154,13932436550.0883,1889051,1876262,1856124,1837114,1831712
Mali,MLI,17070867589.9055,17280250810.0321,17465392764.3706,19309463508.0377,18780322203.7584,20442030,21068405,21713836,22388630,23072640
Malta,MLT,16153779511.1559,16337793530.7788,16385919535.6742,19718565605.433,19209979975.2323,484630,504062,515332,518536,531511
Myanmar,MMR,67860515989.517,75065106227.6892,79006113643.1906,66345291160.1683,62253049891.6449,52272247,52640713,53016522,53387102,53756787
Middle East & North Africa (excluding high income),MNA,1490670888640.86,1480176106051.1,1328872852321.83,1552753180082.25,1741921040109.65,404775501,411833977,418461302,424980589,432229148
Montenegro,MNE,5506942238.35668,5542054181.12616,4769996866.00758,5861427505.12493,6229801580.79157,622227,622028,621306,619211,617213
Mongolia,MNG,13178094720.4986,14206359017.5143,13312981429.0891,15286441737.6686,17146471713.748,3208189,3267673,3327204,3383741,3433748
Northern Mariana Islands,MNP,1301000000.0,1179000000.0,866000000.0,914000000.0,1096000000.0,49077,48129,47528,46979,46078
Mozambique,MOZ,15017358952.8452,15512759046.672,14235420174.1884,16168055475.4449,18883528581.3734,29018644,29884380,30783688,31707800,32656246
Mauritania,MRT,7473550557.07378,7894764885.82312,8260752385.23089,9222536364.01272,9557966698.25369,4337685,4467708,4600131,4734874,4875637
Mauritius,MUS,14735695930.9727,14436346979.6355,11408106446.3144,11484348857.8529,12927979286.0453,1265577,1265985,1266014,1266334,1262523
Malawi,MWI,9879231591.52434,11051865579.8121,11769313597.8545,12378129750.9872,12429060150.742,18528081,19025752,19533888,20047258,20568728
