Country Name,Country Code,2018,2019,2020,2021,2022,Population_2018,Population_2019,Population_2020,Population_2021,Population_2022
Russian Federation,RUS,1657328773461.31,1693115002708.32,1493075894362.14,1843392293734.38,2266029240645.34,145398106,145453291,145245148,144746762,144236933
Rwanda,RWA,9637904655.17446,10349300380.33,10174387374.3478,11069280649.6459,13316160895.0447,12487996,12776103,13065837,13355260,13651030
South Asia,SAS,3534066859804.7,3658209765835.5,3493120726808.9,4079874340683.11,4327392880815.64,1852836645,1874070006,1895144142,1914263569,1932289074
Saudi Arabia,SAU,846583733333.333,838564800000.0,734271200000.0,874156000000.0,1108571466666.67,30196281,30063799,31552510,30784383,32175224
Sudan,SDN,32333780383.2924,32338079165.2893,27034593750.0,34229513774.9936,51666875363.0963,44230596,45548175,46789231,48066924,49383346
Senegal,SEN,23116701556.1381,23403995992.1354,24530513037.7518,27520784129.7508,27619479059.6131,15914498,16352922,16789219,17220867,17651103
Singapore,SGP,376892697588.005,376901649222.451,349488382610.662,434111559282.849,498474540987.78,5638676,5703569,5685807,5453566,5637022
Solomon Islands,SLB,1615478393.28614,1619155017.3924,1536145814.17007,1522794913.0914,1566360686.10632,709101,728147,744498,762591,781066
Sierra Leone,SLE,6390514688.52816,6523577590.38319,6688594757.62129,7165214367.64956,7119137321.90082,7554563,7731991,7912558,8094602,8276807
El Salvador,SLV,26020850000.0,26881140000.0,24921190000.0,29043140000.0,31988920000.0,6219807,6222318,6234673,6255782,6280319
San Marino,SMR,1655353653.05934,1616232125.12587,1544714493.24409,1855395999.76534,1831700577.08904,34522,34663,34770,34252,33755
Somalia,SOM,7873440838.36559,8655023960.002,8628393719.99922,9483997404.25227,10202767269.9603,15452487,16030971,16651191,17271431,17801897
Serbia,SRB,52787520248.9242,53864693664.5568,55874017668.998,66159884072.5308,66797564758.339,6982604,6945235,6899126,6834326,6664449
Sub-Saharan Africa (excluding high income),SSA,1781016674647.24,1834336253943.3,1721810881901.34,1933570427279.37,2073339118621.98,1109900238,1139217993,1168916989,1198912667,1229088695
South Sudan,SSD,,,,,,10122977,10423384,10698467,10865780,11021177
Sub-Saharan Africa,SSF,1782800988574.01,1836204944040.04,1723193433652.91,1935057601074.18,2075397087141.81,1109997000,1139315618,1169015451,1199011925,1229208573
Small states,SST,244622967831.528,247266169547.517,222762059252.071,258942107761.124,287505638394.077,19225348,19408893,19572194,19777900,20005272
Sao Tome and Principe,STP,383717327.830508,412976082.620705,471229484.607144,524402455.54816,540809499.189348,210187,213392,217435,221961,226305
Suriname,SUR,3996198866.57453,4016040575.08796,2911807496.20227,3107923197.96954,3791603200.0259,599513,605768,612317,617896,623164
Slovak Republic,SVK,106611673364.837,105843498304.094,107732602896.441,120592216208.386,115928615553.286,5446771,5454147,5458827,5447247,5431752
Slovenia,SVN,53689067639.9176,53909922735.545,53384760135.1581,61529280461.092,59927702746.2843,2073894,2088385,2102419,2108079,2112076
Sweden,SWE,551312498430.164,532169294165.94,545147614972.141,637186904843.636,579895717343.956,10175214,10278887,10353442,10415811,10486941
Eswatini,SWZ,4659474399.74018,4594818143.27624,4105756862.55271,4737671576.32851,4695372785.0814,1168929,1179874,1192729,1206593,1218917
Sint Maarten (Dutch part),SXM,1259200446.92737,1407880446.92737,1236428100.55866,1353071061.45251,1537088715.0838,39712,40385,41008,41571,42139
Seychelles,SYC,1784313926.76807,1868690096.73454,1382551751.56908,1487173794.80528,2057968519.83091,96762,97625,98462,99258,119878
Syrian Arab Republic,SYR,21497782867.6426,22583045060.0821,12047752036.091,14353205678.4991,23622827079.5047,19577845,20353534,21049429,21628839,22462173
Turks and Caicos Islands,TCA,1128749004.5304,1177285211.72521,774653669.315186,1045782453.5755,1228794382.95121,41559,43166,44386,45243,45847
Chad,TCD,11239167898.3395,11314951091.7283,10715396042.3343,11779981332.8631,12396807588.4082,16156531,16685223,17224679,17828273,18455316
East Asia & Pacific (IDA & IBRD countries),TEA,16628455562440.2,17201604143343.6,17474730731538.4,20824108313726.3,21098845523342.9,2074796982,2086281644,2095759417,2102350702,2107261123
Europe & Central Asia (IDA & IBRD countries),TEC,4091548485168.69,4175889218401.02,3916846154218.45,4642906015416.13,5237811052696.8,460515553.5,462573906,463913014.5,463790894,461440170.5
Togo,TGO,7029300383.08031,6992700101.37188,7400284167.78479,8342243645.94438,8169476148.95692,8258778,8463068,8669720,8878379,9089738
Thailand,THA,506754208404.485,543976691793.886,500461898480.246,506256494297.34,495645210972.751,71376079,71522271,71641484,71727332,71735329
Tajikistan,TJK,7764999999.45362,8300813599.3084,8133963550.65742,8937805347.13963,10713525200.3998,9307333,9529966,9749310,9966908,10182222
Turkmenistan,TKM,40765428571.4286,45232857142.8571,45818000000.0,50007428571.4286,58972000000.0,6655524,6803944,6949912,7092043,7230193
Latin America & the Caribbean (IDA & IBRD countries),TLA,5506624568680.82,5413333286802.23,4561922258737.73,5313451270078.42,6049066571917.19,620274430,625467307,630051021,633862610,637837815
Timor-Leste,TLS,1555988600.0,2032550400.0,2162619200.0,3624889700.0,3208594000.0,1275959,1300945,1326053,1350139,1369295
Middle East & North Africa (IDA & IBRD countries),TMN,1474394288640.86,1463042606051.1,1313341152321.83,1534644180082.25,1722755540109.65,400206414,407148671,413658033,420057840,427185536
Tonga,TON,489714518.002333,494197841.113077,496856295.76752,518228012.09129,518180042.241509,105567,105669,105704,105490,105042
South Asia (IDA & IBRD),TSA,3534066859804.7,3658209765835.5,3493120726808.9,4079874340683.1,4327392880815.64,1852836645,1874070006,1895144142,1914263569,1932289074
Sub-Saharan Africa (IDA & IBRD countries),TSS,1782800988574.01,1836204944040.04,1723193433652.91,1935057601074.18,2075397087141.81,1109997000,1139315618,1169015451,1199011925,1229208573
Trinidad and Tobago,TTO,24569257295.0918,23775659262.5735,20807716174.0546,24496397204.7176,30053446092.0128,1359193,1363985,1366725,1367558,1365805
Tunisia,TUN,42686504459.801,41905642418.825,42491780918.361,46812290143.344,44579761022.8993,11765514,11875081,11974057,12048622,12119334
Turkiye,TUR,778972108040.602,761005915750.925,720338490327.248,819865223976.115,907118434653.505,81407204,82579440,83384680,84147318,84979913
Tuvalu,TUV,48015259.8751356,54123198.5662913,51746594.3148543,60196405.7138393,59065982.0873657,10751,10581,10399,10194,9992
Tanzania,TZA,57003712892.0858,61026731925.9213,66068737786.0639,70655628147.8986,75769974505.0106,57437145,59174891,60972798,62830412,64711821
Uganda,UGA,32927025619.6795,35348155095.4215,37600368241.6657,40529788748.6737,45565333210.9108,41565831,42999637,44457152,45910930,47312719
Ukraine,UKR,130891088293.55,153883047509.577,156617722013.342,199765859570.935,161989520721.19,45208907,44957458,44680014,44298640,41048766
Upper middle income,UMC,23375867162686.5,23748825752032.3,22976120181600.3,27390623700501.0,28547068404946.9,2758643432,2777172392,2792212417,2803460465,2810662434
Uruguay,URY,65344576348.2279,62222325807.0578,53668636567.8667,60760798595.5436,70164683290.3776,3394534,3397206,3398968,3396695,3390913
United States,USA,20656516000000.0,21539982000000.0,21354105000000.0,23681171000000.0,26006893000000.0,326838199,328329953,331526933,332048977,333271411
Uzbekistan,UZB,58695899092.1083,67293639798.3996,66443265418.3086,77340060003.0347,90095926567.4359,32373490,32964701,33586372,34243696,34938955
St. Vincent and the Grenadines,VCT,884329629.62963,910766666.666667,869111111.111111,872225925.925926,966492592.592592,104926,104167,103526,102841,102046
"Venezuela, RB",VEN,,,,,,29807592,28938098,28444077,28237826,28213017
British Virgin Islands,VGB,,,,,,34657,36395,37135,37809,38319
Virgin Islands (U.S.),VIR,3923000000.0,4121000000.0,4229000000.0,4507000000.0,4672000000.0,107001,106669,106290,105870,105413
Viet Nam,VNM,310106478394.659,334365270496.667,346615738537.796,366474752771.009,410324028883.325,96237319,97173776,98079191,98935098,99680655
Vanuatu,VUT,914736985.430944,936526267.622513,909421043.508407,950394006.532514,1022219297.50335,285259,291985,298858,305868,313046
World,WLD,86884839554431.6,88149850742946.0,85763013427792.9,97848299706454.8,101770911729948.0,7696494847.5,7776892015,7856138789.5,7921184346,7989981519.5
Samoa,WSM,878448433.404342,912950466.064906,868898358.266437,843923638.733018,832945205.637185,207582,209780,211944,213779,215261
Kosovo,XKX,7878759714.82322,7899737577.47286,7717145217.81247,9413403724.01899,9354903061.8898,1797086,1788891,1790152,1786080,1768096
"Yemen, Rep.",YEM,21606160783.9845,,,,,34085182,35111408,36134863,37140230,38222876
South Africa,ZAF,405260723892.517,389330032224.269,337974655408.055,420886877628.703,406920004594.074,58613001,59587885,60562381,61502603,62378410
Zambia,ZMB,26311507273.6735,23308667781.2258,18137764930.651,22096416932.0089,29163782140.4858,17973569,18513839,19059395,19603607,20152938
Zimbabwe,ZWE,34156069918.0609,25717409842.4479,26867936444.6826,27240515108.8049,32789751736.3323,15034452,15271368,15526888,15797210,16069056
