Country Name,Country Code,2018,2019,2020,2021,2022,Population_2018,Population_2019,Population_2020,Population_2021,Population_2022,gdp_per_capita_2018,gdp_per_capita_2019,gdp_per_capita_2020,gdp_per_capita_2021,gdp_per_capita_2022,gdp_per_capita_norm_2018,gdp_per_capita_norm_2019,gdp_per_capita_norm_2020,gdp_per_capita_norm_2021,gdp_per_capita_norm_2022
Burkina Faso,BFA,15890066221.2882,16032813503.3707,17725010532.5268,19697516284.3787,18820218690.5948,20438288.0,20961952.0,21478690.0,21995243.0,22509038.0,777.4656185140458,764.8530777749468,825.2370387824769,895.5352884429919,836.1183045936837,0.004128903733175379,0.003947694281580793,0.004665205708023839,0.004001080461832973,0.0036987874362834705
Bangladesh,BGD,321362752441.78,351231654603.692,373979442362.193,416271647911.014,460131688909.301,163523103.0,164913055.0,166298024.0,167658854.0,169384897.0,1965.2437273146659,2129.7989695460556,2248.850788282325,2482.8491784335706,2716.485926778354,0.010436863018865991,0.010992693181614641,0.012713137002996316,0.011092895462310966,0.012017084139416578
Bulgaria,BGR,66289266348.6504,68631726289.2794,70716821234.5967,84417951260.8091,90642851835.8996,7025037.0,6975761.0,6934015.0,6877743.0,6643324.0,9436.144798760548,9838.600589853839,10198.538831340384,12274.077595049583,13644.20158280698,0.05011274139794258,0.050780716474742076,0.05765407917180632,0.0548382321571697,0.060358685027390016
Bahrain,BHR,39567978723.4043,40446808510.6383,35837632978.7234,40840212765.9574,46680398936.1702,1503091.0,1483756.0,1472204.0,1504365.0,1524693.0,26324.406654955885,27259.743859932696,24342.844455471793,27147.80838822852,30616.261067749507,0.1398016044992612,0.14069778638568536,0.13761425089541787,0.12129121780625508,0.1354390176141374
"Bahamas, The",BHS,12615800000.0,13016200000.0,9958200000.0,11368900000.0,13136400000.0,392717.0,394675.0,395863.0,396373.0,397538.0,32124.405105966893,32979.540127953376,25155.672543278863,28682.327000073165,33044.38820942904,0.1706037836394287,0.1702198052873553,0.1422093066874776,0.12814715359728954,0.14618047144429555
Bosnia and Herzegovina,BIH,20484053868.9246,20482608755.379,20226036564.4129,23672712242.2149,24534663636.1778,3387000.0,3345533.0,3299349.0,3244907.0,3204802.0,6047.8458426113375,6122.375345088212,6130.311332451613,7295.343824095698,7655.594210243815,0.03211842772540045,0.03159988086837199,0.03465569536518938,0.032594201494496745,0.03386651808310168
Belarus,BLR,60031173807.7196,64410122847.3508,61371755326.2351,69673747131.87,73775179924.603,9438785.0,9419758.0,9379952.0,9302585.0,9228071.0,6360.05310087258,6837.768321367789,6542.864539843605,7489.7189471388865,7994.648060748882,0.033776473667834636,0.03529229297156671,0.03698792899933189,0.03346263238394459,0.03536641123886879
Belize,BLZ,2293250000.0,2388300000.0,2042850000.0,2420550000.0,2846700000.0,380226.0,385829.0,390812.0,395346.0,402733.0,6031.281395801444,6190.047922784446,5227.193637861683,6122.611585800792,7068.454782697221,0.032030458553976425,0.03194916448342709,0.029550217028886987,0.027354658054772097,0.031269153659880054
Bermuda,BMU,7225977000.0,7423465000.0,6887147000.0,7286607000.0,7827980000.0,63831.0,64107.0,64382.0,64648.0,64749.0,113204.82210837994,115798.04077557832,106973.17573234755,112712.02512065339,120897.31115538464,0.6011993347179766,0.5976772228175818,0.6047376045654312,0.5035757801436781,0.53482079404935
Bolivia,BOL,40287647930.4761,40895322843.7851,36629843805.0216,40406111695.179,44008282877.9606,11508368.0,11671386.0,11816299.0,11937360.0,12077154.0,3500.726421893712,3503.8960106181994,3099.942190445722,3384.8448647924665,3643.928269686766,0.01859138468374792,0.018084924603573724,0.017524501836160663,0.015122839746944188,0.016119867282639318
Brazil,BRA,1916933898038.36,1873288205186.45,1476107231194.11,1670647399034.67,1951923942083.32,206107261.0,207455459.0,208660842.0,209550294.0,210306415.0,9300.661649364989,9029.833267421754,7074.1937828186765,7972.5366504838685,9281.333344412342,0.049393228061274594,0.046606364266887065,0.03999162381751935,0.03561976957821345,0.04105839924525264
Barbados,BRB,5629916200.0,5788288000.0,5168344450.0,5275242050.0,6257303500.0,280711.0,281207.0,281698.0,282147.0,282318.0,20055.915870771005,20583.726578641355,18347.110913105524,18696.785895295714,22164.026027387557,0.10651139283734343,0.10624035134239834,0.10371934672715012,0.08353366496009841,0.0980483510014765
Brunei Darussalam,BRN,13566908401.1864,13469235348.2211,12005799664.2691,14006496614.3195,16681536442.5498,437810.0,442680.0,447404.0,451721.0,455370.0,30988.119049785066,30426.573028420302,26834.359246383807,31006.963622057643,36632.92804214112,0.16456928432833215,0.15704298229644867,0.1516992088868058,0.13853318560419642,0.16205531352694608
Bhutan,BTN,2583335721.20625,2735683570.28851,2457604334.15915,2768802959.60794,2898227743.13545,759759.0,764824.0,770006.0,775442.0,780914.0,3400.2041715942164,3576.87987077878,3191.6690703178288,3570.612579158648,3711.3276790215696,0.0180575389616412,0.018461621744208612,0.018043049530275208,0.01595281437997308,0.016418026152132847
Botswana,BWA,17031943186.1353,16725908148.5481,14960291105.9316,18750946600.1423,20321958850.0363,2299141.0,2332083.0,2365894.0,2401441.0,2439892.0,7407.959401417877,7172.089564800266,6323.314191562091,7808.206239562954,8329.040322291437,0.039341612669876964,0.03701785059728593,0.0357467734405452,0.034885572718630395,0.036845682639804186
Central African Republic,CAF,2220979146.11241,2221301351.43918,2326720900.38047,2516498412.46384,2382618615.01694,4878657.0,4944703.0,5026628.0,5112100.0,5098039.0,455.2439628595349,449.2284676024384,462.8790712940106,492.263142830508,467.3598250262385,0.002417674110591334,0.002318637009131923,0.0026167343248571662,0.002199337612126961,0.002067488104892939
Canada,CAN,1725329192783.02,1743725183672.52,1655684730000.19,2007472181464.15,2161483369422.01,37072620.0,37618495.0,38028638.0,38239864.0,38939056.0,46539.17615704043,46352.869344521096,43537.83929890389,52496.844169324184,55509.393176403915,0.24715662480480385,0.23924458508888993,0.24612683007046818,0.2345458634901624,0.24556028130059582
